COMMENT_ID,AUTHOR,DATE,CONTENT,VIDEO_NAME,CLASS
Ugxqi8n8Tit2R4pKTRl4AaABAg,Josh-oh5bs,2019-11-29T13:02:05,No this wasn’t  in my recommendations. I searched it and I regret nothing.,taking the hobbits to isengard,2
UgxZ6wDbpMyPqlF55lB4AaABAg,OKtubus,2022-05-19T10:00:51,Sadly the creator of this mash-up has passed away. His name was Erwin Beekveld and he died on 30th of march 2022 aged 52. Thank you for all the joy you gave us Erwin. Rest In Peace,taking the hobbits to isengard,2
Ugws5oWWXzCE8Y3sYbN4AaABAg,axeldahlberg3662,2019-04-26T14:57:03,This video will probably live longer than man kind itself.,taking the hobbits to isengard,2
UgxMM5LMiDs6vsltv954AaABAg,ronryan3210,2024-11-03T21:53:25,Welcome back old friends. I see you also decided to revisit this absolute classic. We have second breakfast waiting for you and just poured a nice tall pint.,taking the hobbits to isengard,2
UgyV_SUwOTbDlYW__LF4AaABAg,butredragon489,2021-01-19T04:12:03,I love the fact that this meme is over 14 years old and it’s still not dead,taking the hobbits to isengard,2
UgzmsuNKlXsY9O_-9jl4AaABAg,loganford6483,2021-05-20T07:15:02,I love the fact that YouTube had barely been out a year and someone felt the need to create this behemoth of cultural excellence,taking the hobbits to isengard,2
UgwTJQmPq31mQy5FRGp4AaABAg,patrickconlon6237,2021-03-11T00:28:50,I can’t believe they made movies based around this song,taking the hobbits to isengard,2
Ugy9jfZUAbm-QSPggg14AaABAg,superpacemaker444,2025-01-03T18:41:35,2025 and this video still brings a smile to my face. I will say though 40mil views and not even 1 million likes? Come on shirefolk we are better than that!,taking the hobbits to isengard,2
UgwAyi7xyvlViQFaRYV4AaABAg,RabbiHerschel,2021-03-24T01:43:58,When I was at the recent IMAX release of The Two Towers there was a stifled chuckle from about a quarter of the audience when Legolas said the thing.,taking the hobbits to isengard,2
UgxdgnzEEUyUwH1d6WB4AaABAg,yonghunoh354,2022-04-11T04:09:51,"Smeagol: ""Leave now! And NEVER COME BACK!!""  Everyone on the internet: still keeps coming back after 16 years",taking the hobbits to isengard,2
Ugx8o3Mt0FUpbavOwSt4AaABAg,jcktsofts,2020-03-31T16:33:43,If this video is deleted the internet dies,taking the hobbits to isengard,2
UgwWvN9i0dND22sqfb94AaABAg,BlueHymn,2025-02-02T03:37:49,Crazy to think this was posted less than six months after the platform's launch date. I was still in elementary school at the time. I feel thin... sort of stretched... like butter scraped over too much bread.,taking the hobbits to isengard,2
UgzJ_aFndWOlHRqXE2t4AaABAg,alphabetaed3007,2020-05-03T04:25:10,"""Grandpa have you seen thi-"" ""Do not cite the deep magic to me witch. I was there when it was written.""",taking the hobbits to isengard,2
UghCbzeWEPCulHgCoAEC,Xandersama,2016-11-14T14:07:41,I don't know why I suddenly wanted to hear this again.,taking the hobbits to isengard,2
UgxIJu3syZtqgfTSLql4AaABAg,annakareninacamara6580,2021-05-19T01:20:14,"I love how it ends with ""Leave now and never come back"" and yet I always return...",taking the hobbits to isengard,2
UgxrqvZlT5o9Uj1eOjZ4AaABAg,ImDrawty,2024-10-11T10:19:21,I won’t lie I actively searched for this. It’s been living rent free in my head for nearly 2 decades. It’s free to live there for another 2.,taking the hobbits to isengard,2
UgwrMsizKutdWu8_PJV4AaABAg,gem6566,2020-01-20T18:40:40,“Go now and never comeback!!” 13 years later and I’m still here,taking the hobbits to isengard,2
UgwPH2d9hl0aFggWfCV4AaABAg,avp_2029,2022-09-13T07:26:49,Legolas has more words in this video than in the entire trilogy,taking the hobbits to isengard,2
UgzqRr08tVe1C8mVuC94AaABAg,victorvandort1,2023-04-16T13:43:32,"I went to a LOTR marathon today at my local cinema and when Legolas said ""They're taking the hobits to isengard"" the audience cheered",taking the hobbits to isengard,2
